condition,subject,sub_task,block,acc
4F4K_congruent,63,1,12,0.7272727272727273
4F4K_congruent,63,1,13,0.9230769230769231
4F4K_congruent,63,1,14,0.9230769230769231
4F4K_congruent,63,1,15,0.75
4F4K_congruent,63,2,0,0.42857142857142855
4F4K_congruent,63,2,1,0.5294117647058824
4F4K_congruent,63,2,2,0.5
4F4K_congruent,63,2,3,0.5555555555555556
4F4K_congruent,63,2,4,0.45454545454545453
4F4K_congruent,63,2,5,0.6923076923076923
4F4K_congruent,63,2,6,0.4
4F4K_congruent,63,2,7,0.6666666666666666
4F4K_congruent,63,2,8,0.45454545454545453
4F4K_congruent,63,2,9,0.3333333333333333
4F4K_congruent,63,2,10,0.6428571428571429
4F4K_congruent,63,2,11,0.8181818181818182
4F4K_congruent,63,2,12,0.5714285714285714
4F4K_congruent,63,2,13,0.9166666666666666
4F4K_congruent,63,2,14,0.8333333333333334
4F4K_congruent,63,2,15,0.6666666666666666
4F4K_congruent,67,1,0,0.4
4F4K_congruent,67,1,1,0.5833333333333334
4F4K_congruent,67,1,2,0.7142857142857143
4F4K_congruent,67,1,3,0.7692307692307693
4F4K_congruent,67,1,4,0.5
4F4K_congruent,67,1,5,0.5384615384615384
4F4K_congruent,67,1,6,0.6875
4F4K_congruent,67,1,7,0.8888888888888888
4F4K_congruent,67,1,8,0.6666666666666666
4F4K_congruent,67,1,9,0.8181818181818182
4F4K_congruent,67,1,10,0.8461538461538461
4F4K_congruent,67,1,11,0.5
4F4K_congruent,67,1,12,0.7333333333333333
4F4K_congruent,67,1,13,0.625
4F4K_congruent,67,1,14,0.75
4F4K_congruent,67,1,15,0.8
4F4K_congruent,67,2,0,0.4666666666666667
4F4K_congruent,67,2,1,0.46153846153846156
4F4K_congruent,67,2,2,0.6363636363636364
4F4K_congruent,67,2,3,0.75
4F4K_congruent,67,2,4,0.5454545454545454
4F4K_congruent,67,2,5,0.6666666666666666
4F4K_congruent,67,2,6,0.7777777777777778
4F4K_congruent,67,2,7,0.6875
4F4K_congruent,67,2,8,0.6923076923076923
4F4K_congruent,67,2,9,0.5
4F4K_congruent,67,2,10,0.8333333333333334
4F4K_congruent,67,2,11,0.7692307692307693
4F4K_congruent,67,2,12,0.4
